youtube_id,label
zeIkGEHK46I,riding camel
-Fwy8NwefTk,shot put
sDD0p8h88rI,dying hair
09AinCnKAE8,riding camel
qyTDZajMSqQ,baking cookies
nGx0rZBQa84,wrapping present
QpBihhfoqiA,baking cookies
vDrA6LEFvUQ,shot put
jNZq06PrwTM,dying hair
C4Sv9AIOzCI,dying hair
YgYJGayETlI,stretching leg
LKzoGC1npcw,baking cookies
BLHhmBU-Tts,shot put
8vmr4mHxmks,shot put
8fSF6jCy7Qk,spraying
QF0u6V3l5HI,balloon blowing
S7UXJIM8QpU,baking cookies
xpx6ccaYIE4,baking cookies
OiwxcoT2Xog,wrapping present
gCtibUWTcYo,fixing hair
Csj1UUFQ30I,flipping pancake
ozUoLCvr4-w,riding camel
DfbmfYSk1QA,shot put
2rlWNAR4i20,dying hair
cTEhz26JRyU,shot put
nNLSyQKs4Zg,wrapping present
jWw5Tg0OK5E,wrapping present
mMElJrrA77Q,shot put
O12JRDM2bEc,riding camel
BvBvdawr6RU,baking cookies
XJNlj1sv9z0,fixing hair
rENDZkg0cJI,fixing hair
7SkFpZRR-LQ,dying hair
O4IKUAEYEfQ,riding camel
Orf4wPHIBCA,stretching leg
Ww0a2IB7SpI,balloon blowing
DaGVOZQCX6k,dying hair
xfju0Yk6PH4,stretching leg
8yIwgbv5iec,dying hair
EGpb7r1ErN4,dying hair
VsugvLZlf20,shot put
Ia5ZTVQnsBw,stretching leg
3KhWcsYCEE8,dying hair
qIUSDYPbl9o,flipping pancake
xuiijkGiPXo,balloon blowing
BaOyL9LIXjA,fixing hair
CfXqIh8betw,flipping pancake
Bu8tDL1uE9A,flipping pancake
E1NPGDEe9Kk,baking cookies
Cz0eEy0o8WI,balloon blowing
sC3j5wmLDT4,stretching leg
5dapprOc3YE,shot put
uh9JvQzGpfY,balloon blowing
09yxWl2Ek1M,baking cookies
UxVnOPYmwXs,baking cookies
9O91m-hixj8,shot put
pSMo30HYK88,shot put
WE9gG4t0nVQ,stretching leg
-LHHfaxzj7I,riding camel
bcfFNLvAoYU,fixing hair
vdpuK0cFNWQ,balloon blowing
cK6IDGc91Mk,stretching leg
Ar15nlMXDxo,riding camel
y9Mnv6Oy29Y,riding camel
t06OIXGjaYg,flipping pancake
J3g4VEVdAgo,baking cookies
Df1mkg7Oqkg,shot put
8m5f7SFVbIQ,shot put
52sRaSChXUg,shot put
trnvdk0niCQ,dying hair
AYRohNF5vjY,fixing hair
U154xOogpds,flipping pancake
JtVev-UfPSM,dying hair
ovmQeyOv2ao,fixing hair
mKA4HIyn8ec,fixing hair
Do7BwSZuiUE,shot put
hQdzBW3GL7Y,riding camel
UnovBIlPLdQ,dying hair
jLSu71soJmg,fixing hair
U9WRQMumFqM,wrapping present
O8nNB879FlY,riding camel
NY9BPwabx8Y,fixing hair
nnXkXCEbD-g,shot put
fkVg-XVVMHc,baking cookies
ul-ZuTfowNo,stretching leg
YfWRGmcRLec,fixing hair
b3Ek854ITlE,flipping pancake
qADAHZDo1aw,fixing hair
qYGoP6WpEB8,baking cookies
aYrD1CkFE8E,stretching leg
Z8eDXKDFLNA,riding camel
CrpGt8Q1Xps,shot put
RpH6iaQZjMs,wrapping present
rxWYw64LJ98,balloon blowing
aQsbTcz-gt4,balloon blowing
ENgpwOAwH7I,baking cookies
dDBTnCEkVTA,riding camel
kMwcAPFDrhU,baking cookies
dqTnASlJad0,baking cookies
c5jUKpAAq5w,baking cookies
Mvqpa4evlG8,baking cookies
497AthZ5WVo,stretching leg
DufkeQOkfXs,balloon blowing
jL1dTv2JuZE,flipping pancake
pLxiCjI3nOo,riding camel
ITJPVZjPYhQ,riding camel
rAmS6VOaKhU,riding camel
f64rZrz1VG0,baking cookies
NcG9M-VZmME,balloon blowing
ugR03a7V3Ek,stretching leg
jdcSThXed6I,baking cookies
ySNm8YmUJ5Y,shot put
ohXo6eucH6g,baking cookies
-kRPYQyOKrw,fixing hair
K-iFkt7F0s0,balloon blowing
uIbKzq-zSHE,stretching leg
mYbkAaTJMJQ,flipping pancake
a0MOnf5GsIo,baking cookies
8vafAppY23Y,dying hair
wpfwDgwfB5I,stretching leg
bHJsaR4Vkuw,baking cookies
YZUaBkFeDts,shot put
qEWAcKCAbvs,wrapping present
EW36fZyKIqo,shot put
KzbVqJgL77Y,fixing hair
KddE6cB2Pjg,dying hair
8GUT0F8Fo08,stretching leg
PlwddqHJ-c8,balloon blowing
qgd5mG-nXsA,baking cookies
28DLfzsXZAQ,stretching leg
FiArXNYWmAI,riding camel
b8BIuvzCelY,spraying
MBCMWPnao1s,flipping pancake
XiV42JVZzMI,shot put
dLKH1MQOtuQ,fixing hair
8nswQUauacY,balloon blowing
Mf3IyeMF8ug,wrapping present
5GQeHBVCCXY,shot put
3GFgs0aIvTc,baking cookies
XrXas0BBjCk,balloon blowing
ggZBoCAVZWc,flipping pancake
VEBqK5WUA88,dying hair
lktJEoNrOAU,flipping pancake
sCjsSUDqT3M,balloon blowing
CYoCpd23ZJ8,wrapping present
HELj-Udts2c,balloon blowing
gBpZM7lBjKM,fixing hair
z6UipzyBQGY,dying hair
wWBHaGketro,shot put
6FZPGXXkaus,wrapping present
oqw9LYinkLg,flipping pancake
jIEbknvxsBg,stretching leg
bUTjfPTxhqo,riding camel
R8VsCrpy0P0,balloon blowing
CWyMoVGmXro,fixing hair
3usr-OQ59fM,riding camel
MaRpLS4516k,baking cookies
glAcLc34Z50,dying hair
3c0uySvHwng,shot put
zCVpxUU-2BU,shot put
QIqDMT0TQrE,dying hair
g6nlGgHxoRk,balloon blowing
2J6VSWoEcDk,wrapping present
cQkcuqFCXhM,riding camel
oosodaCym3A,riding camel
a45Y1OVF5VI,dying hair
X9wr5yppQaw,shot put
GOBIRBMFpLY,shot put
REZrz8KAcsw,dying hair
FoMNXwHFwAM,dying hair
33QF0-1ocSM,riding camel
U5m5JM1BDAc,baking cookies
rdHOdfiS-w8,balloon blowing
4ySOBNPGnQ4,dying hair
Ocj6I-gvuDk,baking cookies
eUv8KXu9ZvM,dying hair
J3MHQ7OHjxc,dying hair
